"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ABSLFC","FC"
"MAP_3781",145.362815492539,1.80470397756689,0.206059900276264,8.75815224188367,1.98476984273947e-18,1.64452358398413e-17,1.80470397756689,3.49357467361099
"MAP_1645",318.542316263161,-1.94268704749209,0.221887810329516,-8.75526710821605,2.03620673347864e-18,1.68393522635591e-17,1.94268704749209,-3.84420972886975
"MAP_3033c",956.683301049697,0.894729711934449,0.102241955451901,8.75110132606346,2.11280558459892e-18,1.74396665901429e-17,0.894729711934449,1.85926152104436
"MAP_1079",768.992257365223,1.04722500969327,0.119730177604291,8.74654185475578,2.19990697262443e-18,1.81242335812808e-17,1.04722500969327,2.06655105952908
"MAP_0775",414.184963183308,1.10321821222685,0.126227733376709,8.73990352765387,2.33309572568919e-18,1.91851916951758e-17,1.10321821222685,2.14833386101645
"MAP_4099",308.659297132677,1.47505476784951,0.168945956020657,8.73092675665558,2.52594222799173e-18,2.07317899844604e-17,1.47505476784951,2.77994197034036
"MAP_0893",3931.24701257254,0.666324685190981,0.0763532314498672,8.72686947936818,2.61818951267476e-18,2.14484451603299e-17,0.666324685190981,1.58702481346801
"MAP_1891c",1071.1005021973,-1.1386550065728,0.130743723930133,-8.70906053724828,3.06403614625862e-18,2.50536790154605e-17,1.1386550065728,-2.20175662448779
"MAP_1592",328.975196167318,1.54245803171298,0.177264621522135,8.70144317838612,3.27689852778452e-18,2.67439185663464e-17,1.54245803171298,2.91290374976817
"MAP_3561",331.987877147934,-1.73222588327334,0.199141818701161,-8.69845366769886,3.36437121306832e-18,2.7406394713197e-17,1.73222588327334,-3.32240024502524
"MAP_0318",340.924916969099,-1.70575815595298,0.196105994304486,-8.69814388898548,3.37356605564075e-18,2.74299296112846e-17,1.70575815595298,-3.26200310645992
"MAP_3324c",9104.50339573038,-0.931432935447255,0.107098423861135,-8.69698079455363,3.40831097137061e-18,2.76607326967577e-17,0.931432935447255,-1.90716932331052
"MAP_1596",894.188642324847,-1.61343436161235,0.185631285153293,-8.69160799204718,3.57345239049073e-18,2.89469607050925e-17,1.61343436161235,-3.05979364914383
"MAP_4273c",854.366948404295,-1.43918978626711,0.165595802836232,-8.69097985345932,3.59326764488959e-18,2.90533722216909e-17,1.43918978626711,-2.71168535184666
"MAP_0131c",290.599391801313,-3.21973875160188,0.370572563903947,-8.68855135329565,3.67090272285461e-18,2.96260238300882e-17,3.21973875160188,-9.31618153139148
"MAP_1630c",844.941276846212,1.50341601060167,0.17318478893869,8.68099340487633,3.92326902110931e-18,3.16041115589361e-17,1.50341601060167,2.83513220417167
"MAP_3864",293.586248476714,-2.05790411691013,0.237237245466147,-8.67445629317844,4.15530994988722e-18,3.34114570831967e-17,2.05790411691013,-4.16380965019823
"MAP_0363",306.030287131882,1.43912885963237,0.165927930787464,8.67321645489415,4.20082337361636e-18,3.37150953417549e-17,1.43912885963237,2.71157083674143
"MAP_0977",1017.29371733814,-1.29792334630608,0.149676678600469,-8.67151354801652,4.26413877754259e-18,3.41602277758937e-17,1.29792334630608,-2.45874709217052
"MAP_1188",1938.03237828454,1.13980223987822,0.131624000493266,8.65953196686598,4.73705190061812e-18,3.78789995729574e-17,1.13980223987822,2.20350816104665
"MAP_1907c",11357.5397437041,-0.642592401561159,0.0742231594966063,-8.657572729581,4.81916052235004e-18,3.84648592150874e-17,0.642592401561159,-1.56113186301759
"MAP_1903c",461.886077459189,1.20661827755577,0.139385778568221,8.6566814057375,4.85697797776142e-18,3.86957036689783e-17,1.20661827755577,2.30796009145693
"MAP_2117c",198.684322823931,2.36775195767208,0.274034828681301,8.64033221275587,5.60497993604602e-18,4.45734236230351e-17,2.36775195767208,5.16136249328917
"MAP_0520c",49.7267769808288,2.6596960892435,0.308283858803797,8.62742570942134,6.27482676674904e-18,4.98093000645225e-17,2.6596960892435,6.31899922664371
"MAP_0060c",7531.38636864719,0.910121380468067,0.105945941769399,8.59043173592276,8.66431352166299e-18,6.8651664515909e-17,0.910121380468067,1.87920359768712
"MAP_2263c",444.380302681163,1.26470371883133,0.147268759918986,8.58772573033859,8.87077201173116e-18,7.0159742274601e-17,1.26470371883133,2.40277859825418
"MAP_1490",178.344307519296,-3.21591383522625,0.376301210492812,-8.54611610474125,1.27299956658823e-17,1.00499965783282e-16,3.21591383522625,-9.29151490431406
"MAP_3363c",2094.51299872977,1.70331683135696,0.199648966412131,8.53155847469226,1.44389199130794e-17,1.13784966706332e-16,1.70331683135696,3.25648782153035
"MAP_2411",1265.09185373144,-1.19999981851198,0.141140075498728,-8.50219056686557,1.86046064861003e-17,1.46347266210735e-16,1.19999981851198,-2.29739642098638
"MAP_2036",664.673634612221,-1.87224156918298,0.220344948894646,-8.49686629339599,1.94777578857595e-17,1.52939073651721e-16,1.87224156918298,-3.66100963162118
"MAP_1906c",1974.62360832776,-1.05663194768157,0.124374511469651,-8.49556661727597,1.96969642083123e-17,1.54381611362447e-16,1.05663194768157,-2.08006980953204
"MAP_4291c",262.53347468558,1.79345147832388,0.211271760096622,8.48883673569848,2.08715694622799e-17,1.63293753886542e-16,1.79345147832388,3.46643204433901
"MAP_2131c",518.316597160525,-1.51987704083309,0.1792131406947,-8.48083480341593,2.23583877638972e-17,1.74612184511585e-16,1.51987704083309,-2.86766607787783
"MAP_3563",806.147444702064,-1.52991001578628,0.180622517883262,-8.47020644887187,2.44958491627142e-17,1.90962264978148e-16,1.52991001578628,-2.88767827428063
"MAP_3341",3021.1027550318,0.713942851317797,0.0844996048755237,8.44906733433257,2.9363909010271e-17,2.28502690867046e-16,0.713942851317797,1.64028084556691
"MAP_4212",95.7775962317917,2.87507423965365,0.341000354794607,8.43129398321413,3.41863718210239e-17,2.65554852538311e-16,2.87507423965365,7.33640986028754
"MAP_1933",1746.22870422594,-1.06669640288656,0.126695090066842,-8.41939811814173,3.78423383468252e-17,2.93429896272174e-16,1.06669640288656,-2.09463141885306
"MAP_1174c",261.973486802809,1.29131582319237,0.153474704917016,8.41386744408847,3.96709007107019e-17,3.07061242155789e-16,1.29131582319237,2.4475118132194
"MAP_2059",266.023850958887,-2.0239380716172,0.240591571904201,-8.41233986543421,4.01911324974032e-17,3.10535393185975e-16,2.0239380716172,-4.06692411473516
"MAP_1351c",1769.17715332383,1.25649042825742,0.149515981445905,8.40371989740787,4.32553705409652e-17,3.33618549385104e-16,1.25649042825742,2.38913839735359
"MAP_1553c",295.418479034553,2.21823353843323,0.264001619802832,8.40234821320377,4.37637837100893e-17,3.36942405555555e-16,2.21823353843323,4.65323335438756
"MAP_2612c",1483.1758448106,-0.896792414254749,0.106890547200233,-8.38981965893419,4.86888471370162e-17,3.74198736830425e-16,0.896792414254749,-1.86192171317311
"MAP_0834c",703.330822737142,-1.34420632126165,0.160242047156339,-8.3885992791279,4.91968509715541e-17,3.76771657968769e-16,1.34420632126165,-2.53890483739955
"MAP_3753",251.631625726533,1.24183609979493,0.148037707724756,8.38864718240479,4.91768121973266e-17,3.76771657968769e-16,1.24183609979493,2.364993305514
"MAP_1027c",13673.4618604176,0.786872996457707,0.0939570833037312,8.37481293362433,5.53116593462548e-17,4.22857149659417e-16,0.786872996457707,1.72533079782488
"MAP_0659c",348.699867822981,-1.74738450054789,0.208977059989807,-8.36160916721253,6.18685102350795e-17,4.7215442021508e-16,1.74738450054789,-3.35749325308925
"MAP_1468c",292.970699354179,1.57514505853561,0.188384002749898,8.36135253281989,6.20032650180246e-17,4.72354120540118e-16,1.57514505853561,2.97965450625253
