,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ABSLFC,FC
MAP_2174c,83.32119208,0.948838973,0.35230361,2.693242265,0.007076083,0.016996666,0.948838973,1.930318584
MAP_1785,5.0637624,1.408122401,0.523585085,2.689386009,0.007158359,0.017165856,1.408122401,2.653915435
MAP_3451,49.9936019,0.643773537,0.24007375,2.681565718,0.007327852,0.017533639,0.643773537,1.562410486
MAP_3440c,14.03768071,-1.774357571,0.662843865,-2.676886165,0.007430988,0.017721928,1.774357571,-3.420856464
MAP_1220c,44.86648692,-1.20424048,0.45233028,-2.662303486,0.007760787,0.018387486,1.20424048,-2.304159329
MAP_2752,61.21405511,-0.601924744,0.226273119,-2.660169028,0.007810145,0.018484292,0.601924744,-1.51774008
MAP_0707,28.54755829,0.795995299,0.299453684,2.658158311,0.007856898,0.018574731,0.795995299,1.736274797
MAP_0526,55.74279004,0.721173057,0.272262922,2.64881113,0.008077546,0.019054948,0.721173057,1.648521904
MAP_4274,92.69953273,-0.910530173,0.344088389,-2.646210108,0.008139924,0.019170909,0.910530173,-1.879736152
MAP_3348,27.87390519,-0.713551786,0.270743911,-2.635522931,0.008400775,0.019721193,0.713551786,-1.639836282
MAP_3819,60.52038795,-0.595807012,0.226798392,-2.627033669,0.008613281,0.0201548,0.595807012,-1.511317747
MAP_0617,49.14933897,-0.859832087,0.327888303,-2.622332296,0.008733024,0.020424007,0.859832087,-1.814827073
MAP_0571,48.46688989,0.591384361,0.226044896,2.616225235,0.008890789,0.020759491,0.591384361,1.506691825
MAP_3510,10.23421786,1.797166328,0.687617599,2.613613046,0.008959044,0.020874045,1.797166328,3.475369392
MAP_0670,2137.075975,0.721648321,0.277075238,2.604521167,0.009200274,0.021333257,0.721648321,1.649065064
MAP_0417,26.66423307,-1.660427454,0.639190753,-2.597702559,0.009384975,0.021726791,1.660427454,-3.161101706
MAP_3480,84.82240097,-0.612905879,0.238144345,-2.573673868,0.010062507,0.023110827,0.612905879,-1.529336501
MAP_0418,28.7754244,-1.52660638,0.595018826,-2.565643829,0.010298452,0.023578034,1.52660638,-2.881073327
MAP_2412c,16.01071611,0.800999241,0.312929504,2.559679512,0.010476873,0.023923569,0.800999241,1.742307468
MAP_1516,256.771429,-0.633290003,0.24783365,-2.555302736,0.010609548,0.024188435,0.633290003,-1.551098175
MAP_2386c,28.41980187,0.586164447,0.229669276,2.552210973,0.010704168,0.024391373,0.586164447,1.501250209
MAP_4068c,25.47742832,-0.818993824,0.322950655,-2.535972015,0.011213569,0.025392518,0.818993824,-1.764175178
MAP_2827c,28.02145233,-0.711731952,0.281208228,-2.530978402,0.011374485,0.025690807,0.711731952,-1.637769075
MAP_0923c,31.678332,-0.656449651,0.259419971,-2.530451488,0.011391584,0.025706213,0.656449651,-1.576198957
MAP_3750,25.58656926,-0.824624912,0.325888013,-2.530393507,0.011393467,0.025706213,0.824624912,-1.771074514
MAP_3500c,33.52714487,0.793799828,0.31432693,2.52539554,0.011556813,0.025967013,0.793799828,1.733634571
MAP_1772,11.22360858,1.237783922,0.492521619,2.513156527,0.011965623,0.026761162,1.237783922,2.358359937
MAP_0377c,24.5500207,0.663413621,0.264085866,2.512113314,0.012001055,0.026822303,0.663413621,1.583825749
MAP_2758,1885.723595,-0.720857538,0.288326022,-2.50014734,0.012414166,0.027674533,0.720857538,-1.648161411
MAP_3847,14.5709257,1.095537562,0.441574253,2.480981521,0.013102117,0.029063848,1.095537562,2.136926908
MAP_2790c,28.45940831,0.605601152,0.246840246,2.453413337,0.014150763,0.031107556,0.605601152,1.521612658
MAP_3197,75.48139615,0.652025224,0.265766303,2.453378084,0.01415215,0.031107556,0.652025224,1.571372507
MAP_2655,47.95514816,0.59187675,0.241419642,2.451651178,0.014220244,0.031241445,0.59187675,1.507206143
MAP_3592,41.2637461,0.686634356,0.281640015,2.437985795,0.014769354,0.032349794,0.686634356,1.609524298
MAP_1813c,112.3332286,-1.838672089,0.755430051,-2.433940886,0.014935434,0.032582316,1.838672089,-3.57680654
MAP_1081,25.53642182,-1.101804918,0.45621559,-2.415097033,0.015731018,0.034146671,1.101804918,-2.146230339
MAP_1438c,12.18969336,1.265755489,0.525174209,2.410163077,0.015945391,0.034577494,1.265755489,2.404530938
MAP_3508,14.65007309,0.70293459,0.292037801,2.406998644,0.01608423,0.034843824,0.70293459,1.627812566
MAP_0941,23.17215943,0.649558393,0.270729678,2.399287728,0.016427001,0.035445166,0.649558393,1.568687949
MAP_2590,34.90623438,0.606024042,0.253525207,2.390389691,0.016830504,0.03619016,0.606024042,1.522058745
MAP_4219,43.9825769,-0.659540023,0.279651347,-2.35843678,0.018352085,0.039056542,0.659540023,-1.579578924
MAP_1088,2.043964896,2.680192643,1.1387376,2.353652539,0.018589979,0.039499977,2.680192643,6.409414812
MAP_2401,31.11197546,0.635848611,0.273057596,2.328624514,0.019878966,0.041916385,0.635848611,1.553851476
MAP_3143,8.103685431,1.097434967,0.474184189,2.314364319,0.020647746,0.043202355,1.097434967,2.139739202
MAP_0355,20.28668493,-0.646121646,0.284806517,-2.268633644,0.023290614,0.048153123,0.646121646,-1.564955513
MAP_3327c,15.37352206,0.727479599,0.321239959,2.264598716,0.023537316,0.048593889,0.727479599,1.655743964
MAP_0936,33.91341422,0.62747467,0.277819531,2.258569324,0.023910188,0.049223529,0.62747467,1.544858466
