"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ABSLFC","FC"
"MAP_4084",34.1803698880145,-1.2714645322451,0.32820418832752,-3.87400459063091,0.000107061394307627,0.000226186044311888,1.2714645322451,-2.41406501721558
"MAP_0360c",107.753821445945,0.767905013146892,0.198916496183256,3.8604390680572,0.000113183462984111,0.000238887949529783,0.767905013146892,1.70279529998689
"MAP_0176",149.628041037297,0.838129303295093,0.217184770448377,3.85906111908667,0.000113823471225074,0.000240122259858909,0.838129303295093,1.78773054505467
"MAP_0405c",301.866279284952,-0.600566669552599,0.155641229519149,-3.85866053235406,0.000114010168954146,0.000240399532210632,0.600566669552599,-1.51631203479031
"MAP_2344",61.5440761552509,-1.04858917786705,0.271793996686968,-3.85802920832991,0.000114304990672001,0.000240904413480235,1.04858917786705,-2.06850605096064
"MAP_2841c",78.6218390459492,0.885858300258962,0.229698040149707,3.85662106512357,0.000114965171453179,0.000242178448339627,0.885858300258962,1.84786364107523
"MAP_4306",50.7367811076458,-1.01781972933189,0.264078674426964,-3.85422916689695,0.000116094816094484,0.000244321456222064,1.01781972933189,-2.02485658474976
"MAP_0418",28.7754244004109,2.35957132541458,0.612301398694481,3.85361086949261,0.00011638852347642,0.000244762974266805,2.35957132541458,5.13217841599237
"MAP_1989c",152.632409625338,-0.671624336132955,0.17428714198158,-3.85355068937868,0.00011641714799035,0.000244762974266805,0.671624336132955,-1.59286537179373
"MAP_3649",355.753504973287,0.637360809355949,0.165439471158062,3.85253171383153,0.000116902830098165,0.000245665367597593,0.637360809355949,1.55548103957996
"MAP_2733c",161.168447866687,-0.726325992799061,0.188571176337492,-3.85173390178747,0.000117284430405444,0.000246348272459528,0.726325992799061,-1.65442052915361
"MAP_1069",111.66556155879,-0.846994738419587,0.220218800567554,-3.84615090190615,0.000119987881949533,0.000251783543888311,0.846994738419587,-1.79875006415279
"MAP_3218c",60.2192771488679,-1.01329789942575,0.263626521779737,-3.84368724582413,0.000121199446484738,0.000254080767329451,1.01329789942575,-2.01852002511992
"MAP_0603",68.1272788555335,-1.09276804676242,0.284980451367521,-3.83453686566432,0.000125801104120563,0.000263473665346388,1.09276804676242,-2.1328286227457
"MAP_1831c",241.358019717044,0.636332428449379,0.166205424091999,3.82859002301364,0.000128879489719258,0.00026966126997536,0.636332428449379,1.55437265771877
"MAP_3294",310.201805099394,-0.585189743733238,0.152951155351994,-3.82599099945673,0.000130247048527292,0.000272391663987366,0.585189743733238,-1.50023628788839
"MAP_0281",201.459217785554,-0.617420344905274,0.161441350314185,-3.82442505407503,0.000131077610123181,0.000273996926494875,0.617420344905274,-1.53412957991596
"MAP_2554c",652.731687473594,0.712090434622181,0.186289548624151,3.822492672731,0.000132109405433364,0.00027588858071778,0.712090434622181,1.63817608075533
"MAP_2023c",65.1911200010762,-1.04658297226544,0.274465343746741,-3.81316984497379,0.00013719575969878,0.000286235757644936,1.04658297226544,-2.06563159429096
"MAP_0508",161.691122540362,0.81689055803642,0.214454168328447,3.80916148379691,0.000139438870367058,0.000290636840487161,0.81689055803642,1.7616051088988
"MAP_3969",443.922984966585,-0.776350319350775,0.203921715203246,-3.80709979109875,0.000140606019556429,0.000292929207409226,0.776350319350775,-1.7127924237739
"MAP_0058c",53.1397868410248,1.0160186153808,0.267005458568191,3.80523537170051,0.000141669407241049,0.000294862163396441,1.0160186153808,2.02233025606342
"MAP_3806",30.3567846120627,1.22456566385536,0.321948990826663,3.80360149820958,0.000142607524040002,0.000296672754459115,1.22456566385536,2.33685086152069
"MAP_2514c",173.368297927065,0.654468028787081,0.172122564604884,3.80233719088166,0.000143337459843267,0.000298048733421707,0.654468028787081,1.57403544518732
"MAP_4089",32.5145509873386,-1.2767361474111,0.336696082284814,-3.79195427148185,0.000149466440431796,0.000310347978939529,1.2767361474111,-2.42290215896411
"MAP_2894",41.3538335039295,1.26837561297504,0.33518686114998,3.78408511784565,0.000154275022626528,0.000320179555546468,1.26837561297504,2.40890185064759
"MAP_1468c",292.970699354179,0.657331212206931,0.173912196736159,3.77967287253672,0.000157034535171496,0.0003255959142021,0.657331212206931,1.57716238961292
"MAP_3897c",33.3454774862688,1.62885430421127,0.431284305835189,3.77675301923396,0.000158886145088357,0.000329278099635233,1.62885430421127,3.09267300925478
"MAP_0335",69.21156190822,-0.878971904925645,0.233225763582232,-3.76875989781348,0.000164060604420797,0.000339678071980233,0.878971904925645,-1.83906427797716
"MAP_1485c",66.8541330541989,-0.86554875573244,0.230281268130268,-3.75865897717225,0.000170826482847081,0.000353014346976153,0.86554875573244,-1.82203257917327
"MAP_0861",75.780694289129,0.829994451811103,0.22087168236184,3.7578128754929,0.000171404980922378,0.000354041627261321,0.829994451811103,1.77767852588126
"MAP_1803",391.278872351165,0.66172439345265,0.176121080248629,3.75721289307616,0.000171816317965495,0.000354722820669152,0.66172439345265,1.58197235998672
"MAP_1332",134.482518276034,-0.645831235100878,0.172019784082402,-3.75440091699864,0.000173756560449506,0.000358430600441335,0.645831235100878,-1.56464052281812
"MAP_3345c",154.859221277149,0.686732912650673,0.182915551322726,3.75437138988275,0.000173777042834661,0.000358430600441335,0.686732912650673,1.60963425470996
"MAP_0484c",53.2144952815473,0.905796726147037,0.242961837895437,3.72814403279605,0.000192895128804234,0.000396547169328175,0.905796726147037,1.87357889032005
"MAP_0486c",136.649833599832,0.665302429017084,0.178562776055642,3.72587413633047,0.000194639514673137,0.000399944208232474,0.665302429017084,1.58590068728236
"MAP_0770c",77.1330233151417,0.735449016999579,0.197620821486447,3.72151583759111,0.000198030442960098,0.000406719748289154,0.735449016999579,1.66491556856963
"MAP_2715c",231.287229684895,0.634026260091078,0.170812936555865,3.71181640498124,0.000205777228713208,0.000422032505847456,0.634026260091078,1.55188995596136
"MAP_3735c",26.516708888741,1.20124353049954,0.323862463492658,3.70911626356715,0.000207983914493972,0.000426357223397162,1.20124353049954,2.29937780398543
"MAP_2404c",54.6537769623738,0.947942775889283,0.25575652985688,3.70642648467177,0.000210204214851662,0.00043050298239394,0.947942775889283,1.92911984963081
"MAP_0235c",96.6522376334003,-0.824377778528661,0.222845541299121,-3.69932363790091,0.000216174797054789,0.000442522525735685,0.824377778528661,-1.77077115572253
"MAP_2655",47.9551481610286,0.97429560551825,0.263671043047204,3.69511795553456,0.000219784729319673,0.000449277994614933,0.97429560551825,1.96468170889895
"MAP_3632",1131.73713208711,-0.798404793079734,0.216181907442611,-3.69320819917219,0.000221442578523829,0.000452454305579453,0.798404793079734,-1.73917703207464
"MAP_0364c",58.6254717997069,1.45415293637385,0.393820327322864,3.69242732151228,0.000222123829810037,0.000453633173555709,1.45415293637385,2.73995640023532
